2022,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Krakka Æfingar,,,U16 Æfingar,,,U21 Æfingar,,,U16 Afreks,,,U21 Afreks,,,Fullorðins,,,Mánaðarkort,
Tekjur,,,Tekjur,,,Tekjur,,,Tekjur,,,Tekjur,,,Tekjur,,,Bogfimisetrið,
Vor,337500,,Vor,472500,,Vor,247500,,Vor,405000,,Vor,405000,,Vor,#REF!,,Vor,0
Sumar,270000,,Sumar,0,,Sumar,180000,,Sumar,90000,,Sumar,34000,,Sumar,211875,,Sumar,0
Haust,517500,,Haust,877500,,Haust,225000,,Haust,0,,Haust,0,,Haust,389750,,Haust,282000
Samtals,1125000,,Samtals,1350000,,Samtals,652500,,Samtals,495000,,Samtals,439000,,Samtals,#REF!,,Samtals,282000
,,,,,,,,,,,,,,,,,,,
Bogfimisetrið,,,Bogfimisetrið,,,Bogfimisetrið,,,Bogfimisetrið,,,Bogfimisetrið,,,Bogfimisetrið,,,,
Vor,168750,,Vor,236250,,Vor,123750,,Vor,202500,,Vor,202500,,Vor,#REF!,,,
Sumar,135000,,Sumar,0,,Sumar,90000,,Sumar,45000,,Sumar,34000,,Sumar,127500,,,
Haust,258750,,Haust,427500,,Haust,101500,,Haust,0,,Haust,0,,Haust,232250,,,
Samtals,562500,,Samtals,663750,,Samtals,315250,,Samtals,247500,,Samtals,236500,,Samtals,#REF!,,,
,,,,,,,,,,,,,,,,,,,
Laun,,,Laun,,,Laun,,,Laun,,,Laun,,,Laun,,,,
Vor,157651.2,,Vor,157651,,Vor,157651.2,,Vor,204019,,Vor,273700,,Vor,0,,,
Sumar,148377.6,,Sumar,0,,Sumar,148378,,Sumar,55642,,Sumar,112700,,Sumar,0,,,
Haust,213486,,Haust,159390,,Haust,212520,,Haust,0,,Haust,0,,Haust,0,,,
Samtals,519514.8,,Samtals,317041,,Samtals,518548.8,,Samtals,259661,,Samtals,386400,,Samtals,0,,,
,,,,,,,,,,,,,,,,,,,
Margins,,,Margins,,,Margins,,,Margins,,,Margins,,,Margins,,,Samtals Margin,
Vor,11098.8,,Vor,78599,,Vor,-33901,,Vor,-1519,,Vor,-71200,,Vor,#REF!,,Vor samtals,#REF!
Sumar,-13377.6,,Sumar,0,,Sumar,-58378,,Sumar,-10642,,Sumar,-112700,,Sumar,84375,,Sumar samtals,-110722
Haust,45264,,Haust,290610,,Haust,-89020,,Haust,0,,Haust,0,,Haust,157500,,Haust samtals,404354
Samtals,42985.2,,Samtals,369209,,Samtals,-181299,,Samtals,-12161,,Samtals,-183900,,Samtals,#REF!,,Samtals,#REF!
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Samtals,Á mánuði,,,,,,,,,,,,,,,
,,Tekjur,#REF!,#REF!,,,Bogfimisetrið,Samtals,Mánuði,,,,,,,,,,
,,Bogfimisetrið,#REF!,#REF!,,,Vor,#REF!,#REF!,,,,,,,,,,
,,Laun,"2,001,166kr","166,764kr",,,Sumar,431500,107875,,,,,,,,,,
,,Margin,#REF!,#REF!,,,Haust,1020000,255000,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Bogfimisetrið Greitt Vor,,,Bogfimisetrið Greitt Sumar,,,Bogfimisetrið Greitt Haust,,Mánaðarkort,Extra,Total,,,,,,,
,,Janúar,208125,,Maí,68250,,September,"200,000","12,000",0,"212,000",,,,,,,
,,Febrúar,219375,,Júní,76750,,Október,"221,750","90,000","2,500,000","2,811,750",,,,,,,
,,Mars,233438,,Júlí,97250,,Nóvember,"242,250","96,000",0,"338,250",,,,,,,
,,Apríl,241219,,Ágúst,107875,,Desember,"255,000","84,000",0,"339,000",,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,"6,200,000",,,,,,,,,,,
,,,,,,,,Leiga,"665,250",,,,,,,,,,
,,,,,,,,Ferðastyrkir,"1,610,000",,,,,,,,,,
,,,,,,,,Marín,"50,000",,,,,,,,,,
,,,,,,,,Laun,"444,360",,,,,,,,,,
,,,,,,,,Samt 2022,"2,769,610",,,,,,,,,,
,,,,,,,,"3,430,390",,,,,,,,,,,
,,,,,,,,"930,390",,,,,,,,,,,