Fullorðins,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2022,,,,,,,,,,,,
Gjald,11250,,,,,,,,,,,
Gjald + áskrift,14125,,,,,,,,,,,
Bogfimisetrið,50%,,,,,,,,,,,
Klst per æfing,1.5,,,,,,,,,,,
,,,,,,,,,,,,
Laun,,,,,,,,Laun,,,,
Mánuður,Skráningar,Skráningar + áskrift,Tekjur,Bogfimisetrið,Laun,Margin,,Mánuður,Æfingar,Tímar,Tímakaup,Samt
Janúar,0,0,#REF!,#REF!,0,#REF!,,Janúar,0,,2400,0
Febrúar,0,0,0,0,0,0,,Febrúar,0,,2400,0
Mars,0,0,0,0,0,0,,Mars,0,,2400,0
Apríl,1,3,53625,31125,0,22500,,Apríl,0,0,2400,0
Samtals,1,3,#REF!,#REF!,0,#REF!,,,0,0,-,0
Maí,0,3,42375,25500,0,16875,,Maí,0,0,2400,0
Júní,0,4,56500,34000,0,22500,,Júní,0,0,2400,0
Júlí,0,3,42375,25500,0,16875,,Júlí,0,0,2400,0
Ágúst,0,5,70625,42500,0,28125,,Ágúst,0,0,2400,0
Samtals,0,15,211875,127500,0,84375,,,0,0,-,0
September,1,7,110125,65125,0,45000,,September,0,0,2400,0
Október,1,7,110125,65125,0,45000,,Október,0,0,2400,0
Nóvember,0,6,84750,51000,0,33750,,Nóvember,0,0,2400,0
Desember,0,6,84750,51000,0,33750,,Desember,0,0,2400,0
Samtals,2,26,389750,232250,0,157500,,,0,0,-,0
,,,,,,,,,,,,
,,,,,,,,,,,,
2023,,,,,,,,,,,,
Gjald,11250,Frá Sept 23,12500,,,,,,,,,
Gjald + áskrift,14125,Frá Sept 23,15375,,,,,,,,,
Bogfimisetrið,50%,,,,,,,,,,,
Klst per æfing,1.5,,,,,,,,,,,
,,,,,,,,,,,,
Laun,,,,,,,,Laun,,,,
Mánuður,Skráningar,Skráningar + áskrift,Tekjur,Bogfimisetrið,Laun,Margin,,Mánuður,Æfingar,Tímar,Tímakaup,Samt
Janúar,2,7,121375,70750,0,50625,,Janúar,0,0,2500,0
Febrúar,2,8,135500,79250,0,56250,,Febrúar,0,0,2500,0
Mars,2,9,149625,87750,0,61875,,Mars,0,0,2500,0
Apríl,2,10,163750,96250,0,67500,,Apríl,0,0,2500,0
Samtals,8,34,570250,334000,0,236250,,,0,0,-,0
Maí,2,8,135500,79250,0,56250,,Maí,0,0,2500,0
Júní,2,8,135500,79250,0,56250,,Júní,0,0,2500,0
Júlí,3,8,146750,84875,0,61875,,Júlí,0,0,2500,0
Ágúst,3,7,132625,76375,0,56250,,Ágúst,0,0,2500,0
Samtals,10,31,550375,319750,0,230625,,,0,0,-,0
September,3,7,145125,78250,0,66875,,September,0,0,2500,0
Október,3,8,160500,86750,0,73750,,Október,0,0,2500,0
Nóvember,3,7,145125,78250,0,66875,,Nóvember,0,0,2500,0
Desember,2,7,132625,72000,0,60625,,Desember,0,0,2500,0
Samtals,11,29,583375,315250,0,268125,,,0,0,-,0
,,,,,,,,,,,,
,,,,,,,,,,,,
2024,,,,,,,,,,,,
Gjald,12500,,,,,,,,,,,
Gjald + áskrift,15375,,,,,,,,,,,
Bogfimisetrið,50%,,,,,,,,,,,
Klst per æfing,1.5,,,,,,,,,,,
,,,,,,,,,,,,
Laun,,,,,,,,Laun,,,,
Mánuður,Skráningar,Skráningar + áskrift,Tekjur,Bogfimisetrið,Laun,Margin,,Mánuður,Æfingar,Tímar,Tímakaup,Samt
Janúar,3,5,114375,61250,0,53125,,Janúar,0,0,2700,0
Febrúar,3,5,114375,61250,0,53125,,Febrúar,0,0,2700,0
Mars,4,4,111500,59000,0,52500,,Mars,0,0,2700,0
Apríl,4,4,111500,59000,0,52500,,Apríl,0,0,2700,0
Samtals,14,18,451750,240500,0,211250,,,0,0,-,0
Maí,2,4,86500,46500,0,40000,,Maí,0,0,2700,0
Júní,3,5,114375,61250,0,53125,,Júní,0,0,2700,0
Júlí,3,6,129750,69750,0,60000,,Júlí,0,0,2700,0
Ágúst,3,6,129750,69750,0,60000,,Ágúst,0,0,2700,0
Samtals,11,21,460375,247250,0,213125,,,0,0,-,0
September,8,6,192250,101000,0,91250,,September,0,0,2700,0
Október,6,10,228750,122500,0,106250,,Október,0,0,2700,0
Nóvember,6,9,213375,114000,0,99375,,Nóvember,0,0,2700,0
Desember,5,8,185500,99250,0,86250,,Desember,0,0,2700,0
Samtals,25,33,819875,436750,0,383125,,,0,0,-,0
,,,,,,,,,,,,
,,,,,,,,,,,,
2025,,,,,,,,,,,,
Gjald,12500,,,,,,,,,,,
Gjald + áskrift,15375,,,,,,,,,,,
Bogfimisetrið,50%,,,,,,,,,,,
Klst per æfing,1.5,,,,,,,,,,,
,,,,,,,,,,,,
Laun,,,,,,,,Laun,,,,
Mánuður,Skráningar,Skráningar + áskrift,Tekjur,Bogfimisetrið,Laun,Margin,,Mánuður,Æfingar,Tímar,Tímakaup,Samt
Janúar,5,7,170125,90750,0,79375,,Janúar,0,0,2700,0
Febrúar,5,7,170125,90750,0,79375,,Febrúar,0,0,2700,0
Mars,5,7,170125,90750,0,79375,,Mars,0,0,2700,0
Apríl,4,8,173000,93000,0,80000,,Apríl,0,0,2700,0
Samtals,19,29,683375,365250,0,318125,,,0,0,-,0
Maí,5,11,231625,124750,0,106875,,Maí,0,0,2700,0
Júní,5,9,200875,107750,0,93125,,Júní,0,0,2700,0
Júlí,6,10,228750,122500,0,106250,,Júlí,0,0,2700,0
Ágúst,0,0,0,0,0,0,,Ágúst,0,0,2700,0
Samtals,16,30,661250,355000,0,306250,,,0,0,-,0
September,0,0,0,0,0,0,,September,0,0,2700,0
Október,0,0,0,0,0,0,,Október,0,0,2700,0
Nóvember,0,0,0,0,0,0,,Nóvember,0,0,2700,0
Desember,0,0,0,0,0,0,,Desember,0,0,2700,0
Samtals,0,0,0,0,0,0,,,0,0,-,0