Mánaðarkort,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Gjald,6000,,,,,,,,,,,,,,
Gjald Maí 23,7500,,,,,,,,,,,,,,
Gjald Feb 25,8500,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2022,,,,2023,,,,2024,,,,2025,,,
Mánuður,Skráningar,Bogfimisetrið,,Mánuður,Skráningar,Bogfimisetrið,,Mánuður,Skráningar,Bogfimisetrið,,Mánuður,Skráningar,Hæfileikamótun,Bogfimisetrið
Janúar,0,0,,Janúar,15,90000,,Janúar,26,195000,,Janúar,29,6,262500
Febrúar,0,0,,Febrúar,19,114000,,Febrúar,26,195000,,Febrúar,30,6,270000
Mars,0,0,,Mars,21,126000,,Mars,26,195000,,Mars,29,7,270000
Apríl,0,0,,Apríl,21,126000,,Apríl,25,187500,,Apríl,29,7,270000
Samtals,0,0,,Samtals,76,456000,,Samtals,103,772500,,Samtals,117,,1072500
Maí,0,0,,Maí,21,157500,,Maí,24,180000,,Maí,29,6,246500
Júní,0,0,,Júní,21,157500,,Júní,23,172500,,Júní,30,6,255000
Júlí,0,0,,Júlí,21,157500,,Júlí,24,180000,,Júlí,29,6,246500
Ágúst,0,0,,Ágúst,18,135000,,Ágúst,24,180000,,Ágúst,0,,0
Samtals,0,0,,Samtals,81,607500,,Samtals,95,712500,,Samtals,88,,748000
September,2,12000,,September,18,135000,,September,26,195000,,September,0,,0
Október,15,90000,,Október,21,157500,,Október,28,210000,,Október,0,,0
Nóvember,16,96000,,Nóvember,21,157500,,Nóvember,28,210000,,Nóvember,0,,0
Desember,14,84000,,Desember,23,172500,,Desember,28,210000,,Desember,0,,0
Samtals,47,282000,,Samtals,83,622500,,Samtals,110,825000,,Samtals,0,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Grunnnámskeið,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Gjald,30000,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,
Mánuður,Skráningar,Bogfimisetrið,,,,,,,,,,,,,
Janúar,0,0,,,,,,,,,,,,,
Febrúar,0,0,,,,,,,,,,,,,
Mars,0,0,,,,,,,,,,,,,
Apríl,0,0,,,,,,,,,,,,,
Samtals,0,0,,,,,,,,,,,,,
Maí,0,0,,,,,,,,,,,,,
Júní,0,0,,,,,,,,,,,,,
Júlí,0,0,,,,,,,,,,,,,
Ágúst,1,30000,,,,,,,,,,,,,
Samtals,1,30000,,,,,,,,,,,,,
September,6,180000,,,,,,,,,,,,,
Október,4,120000,,,,,,,,,,,,,
Nóvember,0,0,,,,,,,,,,,,,
Desember,0,0,,,,,,,,,,,,,
Samtals,10,300000,,,,,,,,,,,,,